date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:47:04	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226552848a-239b%22	https://themewagon.github.io/robots.txt		(from )
09:47:04	21376/21376	---M-Z	200	added ('OK')	text/html	etag:W/%22639ecaa4-5380%22	https://themewagon.github.io/keto/	C:/My%20Web%20Sites/user%20in%20de%20kost/themewagon.github.io/keto/index.html	(from )
09:47:04	140421/140421	---M-Z	200	added ('OK')	text/css	etag:W/%22639ecaa4-22485%22	https://themewagon.github.io/keto/css/bootstrap.min.css	C:/My%20Web%20Sites/user%20in%20de%20kost/themewagon.github.io/keto/css/bootstrap.min.css	(from https://themewagon.github.io/keto/)
09:47:05	16454/16454	---M-Z	200	added ('OK')	text/css	etag:W/%22639ecaa4-4046%22	https://themewagon.github.io/keto/css/style.css	C:/My%20Web%20Sites/user%20in%20de%20kost/themewagon.github.io/keto/css/style.css	(from https://themewagon.github.io/keto/)
09:47:05	3792/3792	---M-Z	200	added ('OK')	text/css	etag:W/%22639ecaa4-ed0%22	https://themewagon.github.io/keto/css/responsive.css	C:/My%20Web%20Sites/user%20in%20de%20kost/themewagon.github.io/keto/css/responsive.css	(from https://themewagon.github.io/keto/)
09:47:05	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226552848a-24a3%22	https://themewagon.github.io/keto/images/fevicon.png	C:/My%20Web%20Sites/user%20in%20de%20kost/themewagon.github.io/keto/images/fevicon.png	(from https://themewagon.github.io/keto/)
09:47:06	42839/42839	---M-Z	200	added ('OK')	text/css	etag:W/%22639ecaa4-a757%22	https://themewagon.github.io/keto/css/jquery.mCustomScrollbar.min.css	C:/My%20Web%20Sites/user%20in%20de%20kost/themewagon.github.io/keto/css/jquery.mCustomScrollbar.min.css	(from https://themewagon.github.io/keto/)
09:47:06	21658/21658	---MCZ	200	added ('OK')	text/css	etag:W/%221f9e9d1a5a1d347d945ef4b7727f2ea0%22	https://netdna.bootstrapcdn.com/font-awesome/4.0.3/css/font-awesome.css	C:/My%20Web%20Sites/user%20in%20de%20kost/netdna.bootstrapcdn.com/font-awesome/4.0.3/css/font-awesome.css	(from https://themewagon.github.io/keto/)
09:47:07	3885/3885	---M-Z	200	added ('OK')	text/css	etag:%225eb03e58-f2d%22	https://cdnjs.cloudflare.com/ajax/libs/fancybox/2.1.5/jquery.fancybox.min.css	C:/My%20Web%20Sites/user%20in%20de%20kost/cdnjs.cloudflare.com/ajax/libs/fancybox/2.1.5/jquery.fancybox.min.css	(from https://themewagon.github.io/keto/)
09:47:07	35499/35499	---M--	200	added ('OK')	image/gif	etag:%22639ecaa4-8aab%22	https://themewagon.github.io/keto/images/loading.gif	C:/My%20Web%20Sites/user%20in%20de%20kost/themewagon.github.io/keto/images/loading.gif	(from https://themewagon.github.io/keto/)
09:47:08	21376/21376	---M-Z	200	added ('OK')	text/html	etag:W/%22639ecaa4-5380%22	https://themewagon.github.io/keto/index.html	C:/My%20Web%20Sites/user%20in%20de%20kost/themewagon.github.io/keto/index-2.html	(from https://themewagon.github.io/keto/)
09:47:08	3864/3864	---M--	200	added ('OK')	image/png	etag:%22639ecaa4-f18%22	https://themewagon.github.io/keto/images/logo.png	C:/My%20Web%20Sites/user%20in%20de%20kost/themewagon.github.io/keto/images/logo.png	(from https://themewagon.github.io/keto/)
09:47:08	8546/8546	---M-Z	200	added ('OK')	text/html	etag:W/%22639ecaa4-2162%22	https://themewagon.github.io/keto/about.html	C:/My%20Web%20Sites/user%20in%20de%20kost/themewagon.github.io/keto/about.html	(from https://themewagon.github.io/keto/)
09:47:09	11100/11100	---M-Z	200	added ('OK')	text/html	etag:W/%22639ecaa4-2b5c%22	https://themewagon.github.io/keto/room.html	C:/My%20Web%20Sites/user%20in%20de%20kost/themewagon.github.io/keto/room.html	(from https://themewagon.github.io/keto/)
09:47:09	9449/9449	---M-Z	200	added ('OK')	text/html	etag:W/%22639ecaa4-24e9%22	https://themewagon.github.io/keto/gallery.html	C:/My%20Web%20Sites/user%20in%20de%20kost/themewagon.github.io/keto/gallery.html	(from https://themewagon.github.io/keto/)
09:47:09	9966/9966	---M-Z	200	added ('OK')	text/html	etag:W/%22639ecaa4-26ee%22	https://themewagon.github.io/keto/blog.html	C:/My%20Web%20Sites/user%20in%20de%20kost/themewagon.github.io/keto/blog.html	(from https://themewagon.github.io/keto/)
09:47:10	9278/9278	---M-Z	200	added ('OK')	text/html	etag:W/%22639ecaa4-243e%22	https://themewagon.github.io/keto/contact.html	C:/My%20Web%20Sites/user%20in%20de%20kost/themewagon.github.io/keto/contact.html	(from https://themewagon.github.io/keto/)
09:47:12	809001/809001	---M--	200	added ('OK')	image/jpeg	etag:%22639ecaa4-c5829%22	https://themewagon.github.io/keto/images/banner2.jpg	C:/My%20Web%20Sites/user%20in%20de%20kost/themewagon.github.io/keto/images/banner2.jpg	(from https://themewagon.github.io/keto/)
09:47:12	2961/2961	---M--	200	added ('OK')	image/png	etag:%22639ecaa4-b91%22	https://themewagon.github.io/keto/images/date.png	C:/My%20Web%20Sites/user%20in%20de%20kost/themewagon.github.io/keto/images/date.png	(from https://themewagon.github.io/keto/)
09:47:13	69051/69051	---M--	200	added ('OK')	image/jpeg	etag:%22639ecaa4-10dbb%22	https://themewagon.github.io/keto/images/room1.jpg	C:/My%20Web%20Sites/user%20in%20de%20kost/themewagon.github.io/keto/images/room1.jpg	(from https://themewagon.github.io/keto/)
09:47:13	703854/703854	---M--	200	added ('OK')	image/jpeg	etag:%22639ecaa4-abd6e%22	https://themewagon.github.io/keto/images/banner1.jpg	C:/My%20Web%20Sites/user%20in%20de%20kost/themewagon.github.io/keto/images/banner1.jpg	(from https://themewagon.github.io/keto/)
09:47:13	825764/825764	---M--	200	added ('OK')	image/jpeg	etag:%22639ecaa4-c99a4%22	https://themewagon.github.io/keto/images/banner3.jpg	C:/My%20Web%20Sites/user%20in%20de%20kost/themewagon.github.io/keto/images/banner3.jpg	(from https://themewagon.github.io/keto/)
09:47:13	84848/84848	---M--	200	added ('OK')	image/jpeg	etag:%22639ecaa4-14b70%22	https://themewagon.github.io/keto/images/room2.jpg	C:/My%20Web%20Sites/user%20in%20de%20kost/themewagon.github.io/keto/images/room2.jpg	(from https://themewagon.github.io/keto/)
09:47:13	69064/69064	---M--	200	added ('OK')	image/jpeg	etag:%22639ecaa4-10dc8%22	https://themewagon.github.io/keto/images/room3.jpg	C:/My%20Web%20Sites/user%20in%20de%20kost/themewagon.github.io/keto/images/room3.jpg	(from https://themewagon.github.io/keto/)
09:47:14	774739/774739	---M--	200	added ('OK')	image/png	etag:%22639ecaa4-bd253%22	https://themewagon.github.io/keto/images/about.png	C:/My%20Web%20Sites/user%20in%20de%20kost/themewagon.github.io/keto/images/about.png	(from https://themewagon.github.io/keto/)
09:47:14	88345/88345	---M--	200	added ('OK')	image/jpeg	etag:%22639ecaa4-15919%22	https://themewagon.github.io/keto/images/room4.jpg	C:/My%20Web%20Sites/user%20in%20de%20kost/themewagon.github.io/keto/images/room4.jpg	(from https://themewagon.github.io/keto/)
09:47:14	69886/69886	---M--	200	added ('OK')	image/jpeg	etag:%22639ecaa4-110fe%22	https://themewagon.github.io/keto/images/room5.jpg	C:/My%20Web%20Sites/user%20in%20de%20kost/themewagon.github.io/keto/images/room5.jpg	(from https://themewagon.github.io/keto/)
09:47:15	69060/69060	---M--	200	added ('OK')	image/jpeg	etag:%22639ecaa4-10dc4%22	https://themewagon.github.io/keto/images/room6.jpg	C:/My%20Web%20Sites/user%20in%20de%20kost/themewagon.github.io/keto/images/room6.jpg	(from https://themewagon.github.io/keto/)
09:47:15	73311/73311	---M--	200	added ('OK')	image/jpeg	etag:%22639ecaa4-11e5f%22	https://themewagon.github.io/keto/images/gallery1.jpg	C:/My%20Web%20Sites/user%20in%20de%20kost/themewagon.github.io/keto/images/gallery1.jpg	(from https://themewagon.github.io/keto/)
09:47:15	52228/52228	---M--	200	added ('OK')	image/jpeg	etag:%22639ecaa4-cc04%22	https://themewagon.github.io/keto/images/gallery2.jpg	C:/My%20Web%20Sites/user%20in%20de%20kost/themewagon.github.io/keto/images/gallery2.jpg	(from https://themewagon.github.io/keto/)
